source,end,CON,LAB,LDEM,UKIP,GRN,CON_LEAD
YouGov/Sun,2015-02-24,35,33,6,14.0,7.0,2
YouGov/Sun,2015-02-23,33,33,8,13.0,7.0,0
ComRes/Mail,2015-02-23,34,32,8,13.0,8.0,2
Survation/Mirror,2015-02-23,28,34,10,19.0,4.0,-6
Ashcroft/,2015-02-22,32,36,7,11.0,8.0,-4
Populus/,2015-02-22,32,32,9,15.0,6.0,0
Opinium/Observer,2015-02-20,35,33,6,15.0,7.0,2
YouGov/Sunday Times,2015-02-20,33,34,8,13.0,6.0,-1
Populus/,2015-02-19,31,32,9,17.0,6.0,-1
YouGov/Sun,2015-02-19,32,33,9,15.0,6.0,-1
YouGov/Sun,2015-02-18,32,34,8,14.0,6.0,-2
YouGov/Sun,2015-02-17,33,34,6,15.0,7.0,-1
YouGov/Sun,2015-02-16,32,32,6,16.0,8.0,0
TNS BMRB/,2015-02-16,28,35,6,18.0,7.0,-7
Ashcroft/,2015-02-15,30,31,9,16.0,8.0,-1
ICM/Guardian,2015-02-15,36,32,10,9.0,7.0,4
Populus/,2015-02-14,31,33,10,15.0,5.0,-2
YouGov/Sunday Times,2015-02-13,32,35,7,15.0,7.0,-3
Populus/,2015-02-12,31,34,9,14.0,6.0,-3
ComRes/Independent on Sunday (O),2015-02-12,32,34,7,16.0,4.0,-2
Opinium/Observer,2015-02-12,33,35,8,14.0,6.0,-2
YouGov/Sun,2015-02-12,31,34,7,15.0,7.0,-3
YouGov/Sun,2015-02-11,32,33,7,15.0,7.0,-1
Ipsos-MORI/Evening Standard,2015-02-10,34,36,6,9.0,7.0,-2
YouGov/Sun,2015-02-10,33,35,6,13.0,8.0,-2
YouGov/Sun,2015-02-09,34,33,7,14.0,7.0,1
Populus/,2015-02-08,33,34,8,15.0,4.0,-1
Ashcroft/,2015-02-08,34,31,9,14.0,6.0,3
Opinium/Observer,2015-02-06,32,34,7,15.0,8.0,-2
YouGov/Sunday Times,2015-02-06,32,33,7,15.0,8.0,-1
Populus/,2015-02-05,31,34,8,16.0,5.0,-3
YouGov/Sun,2015-02-05,32,33,9,15.0,5.0,-1
YouGov/Sun,2015-02-04,34,33,6,13.0,7.0,1
YouGov/Sun,2015-02-03,33,33,7,14.0,7.0,0
YouGov/Sun,2015-02-02,33,35,7,14.0,6.0,-2
Populus/,2015-02-02,31,34,8,14.0,5.0,-3
TNS BMRB/,2015-02-02,27,33,6,18.0,8.0,-6
Ashcroft/,2015-02-01,31,31,8,15.0,9.0,0
YouGov/Sunday Times,2015-01-30,32,35,7,15.0,6.0,-3
Opinium/Observer,2015-01-30,32,33,5,18.0,6.0,-1
Populus/,2015-01-29,34,35,10,14.0,4.0,-1
YouGov/Sun,2015-01-29,34,34,6,14.0,7.0,0
YouGov/Sun,2015-01-28,33,33,6,16.0,7.0,0
YouGov/Sun,2015-01-27,34,33,7,14.0,7.0,1
YouGov/Sun,2015-01-26,34,33,6,15.0,7.0,1
ComRes/Independent,2015-01-25,31,30,8,17.0,7.0,1
Ashcroft/,2015-01-25,32,32,6,15.0,9.0,0
Populus/,2015-01-25,34,35,9,13.0,6.0,-1
Survation/Mirror,2015-01-25,31,30,7,23.0,3.0,1
YouGov/Sunday Times,2015-01-23,32,32,7,15.0,7.0,0
Populus/,2015-01-22,32,36,9,13.0,6.0,-4
YouGov/Sun,2015-01-22,31,33,7,17.0,8.0,-2
YouGov/Sun,2015-01-21,33,34,6,14.0,8.0,-1
YouGov/Sun,2015-01-20,32,30,8,15.0,10.0,2
ICM/Guardian,2015-01-19,30,33,11,11.0,9.0,-3
YouGov/Sun,2015-01-19,32,32,8,15.0,7.0,0
TNS BMRB/,2015-01-19,31,31,8,16.0,7.0,0
Populus/,2015-01-18,35,36,8,13.0,4.0,-1
Ashcroft/,2015-01-18,29,28,9,15.0,11.0,1
Opinium/Observer,2015-01-16,28,33,7,20.0,6.0,-5
YouGov/Sunday Times,2015-01-16,31,32,7,18.0,7.0,-1
Populus/,2015-01-15,32,35,9,14.0,6.0,-3
YouGov/Sun on Sunday,2015-01-15,31,33,7,16.0,7.0,-2
ComRes/Independent on Sunday (O),2015-01-15,33,34,7,18.0,3.0,-1
YouGov/Sun,2015-01-15,32,32,6,16.0,8.0,0
YouGov/Sun,2015-01-14,32,34,6,15.0,7.0,-2
YouGov/Sun,2015-01-13,32,33,7,14.0,7.0,-1
Ipsos-MORI/Evening Standard,2015-01-13,33,34,8,11.0,8.0,-1
YouGov/Sun,2015-01-12,32,33,6,17.0,6.0,-1
Populus/,2015-01-11,32,37,10,13.0,4.0,-5
Ashcroft/,2015-01-11,34,28,8,16.0,8.0,6
YouGov/Sunday Times,2015-01-09,32,32,7,18.0,6.0,0
TNS BMRB/,2015-01-08,28,35,6,18.0,5.0,-7
Populus/,2015-01-08,33,34,8,14.0,6.0,-1
YouGov/Sun,2015-01-08,33,33,8,13.0,7.0,0
YouGov/Sun,2015-01-07,32,33,7,15.0,7.0,-1
YouGov/Sun,2015-01-06,33,33,7,13.0,8.0,0
YouGov/Sun,2015-01-05,31,34,7,14.0,8.0,-3
Populus/,2015-01-04,34,35,9,12.0,5.0,-1
Opinium/Observer,2015-01-02,32,33,8,17.0,4.0,-1
YouGov/Sun,2014-12-22,32,36,6,16.0,5.0,-4
Populus/,2014-12-21,35,35,9,12.0,4.0,0
Survation/,2014-12-19,30,33,11,20.0,3.0,-3
Opinium/Observer,2014-12-19,29,36,6,16.0,5.0,-7
YouGov/Sunday Times,2014-12-19,32,34,6,15.0,8.0,-2
Populus/,2014-12-18,34,35,9,13.0,4.0,-1
YouGov/Sun,2014-12-18,30,35,6,16.0,8.0,-5
YouGov/Sun,2014-12-17,33,33,8,14.0,7.0,0
ICM/Guardian,2014-12-16,28,33,14,15.0,5.0,-5
YouGov/Sun,2014-12-16,33,34,6,16.0,6.0,-1
Ipsos-MORI/Evening Standard,2014-12-15,32,29,9,13.0,9.0,3
YouGov/Sun,2014-12-15,32,34,6,14.0,8.0,-2
TNS BMRB/,2014-12-15,28,35,5,19.0,7.0,-7
Populus/,2014-12-14,34,36,10,12.0,5.0,-2
ComRes/Independent,2014-12-14,29,32,12,16.0,5.0,-3
ComRes/Independent on Sunday (O),2014-12-12,33,34,8,18.0,2.0,-1
YouGov/Sunday Times,2014-12-12,32,32,7,16.0,7.0,0
Populus/,2014-12-11,34,35,9,14.0,4.0,-1
YouGov/Sun,2014-12-11,32,34,7,14.0,7.0,-2
YouGov/Sun,2014-12-10,33,33,6,15.0,7.0,0
YouGov/Sun,2014-12-09,32,32,8,15.0,7.0,0
YouGov/Sun,2014-12-08,34,33,6,15.0,6.0,1
Populus/,2014-12-07,33,36,8,15.0,4.0,-3
Ashcroft/,2014-12-07,30,31,8,19.0,5.0,-1
YouGov/Sunday Times,2014-12-05,32,32,6,17.0,7.0,0
Populus/,2014-12-04,33,35,9,14.0,4.0,-2
YouGov/Sun,2014-12-04,31,32,7,15.0,8.0,-1
Opinium/Observer,2014-12-04,29,34,6,19.0,6.0,-5
YouGov/Sun,2014-12-03,32,31,6,17.0,7.0,1
YouGov/Sun,2014-12-02,32,33,7,16.0,7.0,-1
YouGov/Sun,2014-12-01,32,32,8,15.0,6.0,0
Populus/,2014-11-30,32,35,9,14.0,5.0,-3
Ashcroft/,2014-11-30,30,32,7,16.0,6.0,-2
ComRes/Independent,2014-11-30,28,31,9,18.0,7.0,-3
YouGov/Sunday Times,2014-11-28,32,34,7,15.0,6.0,-2
Populus/,2014-11-27,32,37,9,14.0,4.0,-5
YouGov/Sun,2014-11-27,31,31,8,17.0,6.0,0
TNS BMRB/,2014-11-27,30,31,6,19.0,6.0,-1
YouGov/Sun,2014-11-26,33,32,6,16.0,7.0,1
YouGov/Sun,2014-11-25,32,33,7,16.0,6.0,-1
YouGov/Sun,2014-11-24,30,34,6,18.0,6.0,-4
Populus/,2014-11-23,31,36,9,15.0,5.0,-5
Ashcroft/,2014-11-23,27,32,7,18.0,7.0,-5
YouGov/Sunday Times,2014-11-21,33,33,7,16.0,6.0,0
Opinium/Observer,2014-11-20,30,33,7,19.0,4.0,-3
Populus/,2014-11-20,33,36,9,14.0,4.0,-3
YouGov/Sun,2014-11-20,34,33,7,15.0,6.0,1
YouGov/Sun,2014-11-19,34,33,7,14.0,6.0,1
YouGov/Sun,2014-11-18,32,34,7,15.0,6.0,-2
YouGov/Sun,2014-11-17,33,32,7,15.0,8.0,1
Populus/,2014-11-16,35,36,7,11.0,5.0,-1
Ashcroft/,2014-11-16,29,30,9,16.0,7.0,-1
ComRes/Independent on Sunday (O),2014-11-14,30,34,8,19.0,3.0,-4
YouGov/Sunday Times,2014-11-14,31,33,7,18.0,5.0,-2
Populus/,2014-11-13,33,35,9,13.0,4.0,-2
YouGov/Sun,2014-11-13,33,32,8,15.0,6.0,1
YouGov/Sun,2014-11-12,32,35,7,15.0,6.0,-3
YouGov/Sun,2014-11-11,33,34,7,15.0,6.0,-1
YouGov/Sun,2014-11-10,32,33,6,17.0,6.0,-1
Ipsos-MORI/Evening Standard,2014-11-10,32,29,9,14.0,7.0,3
Ashcroft/,2014-11-09,30,29,10,16.0,7.0,1
ICM/Guardian,2014-11-09,31,32,11,14.0,6.0,-1
Populus/,2014-11-09,34,36,8,13.0,4.0,-2
Opinium/Observer,2014-11-07,29,32,9,19.0,4.0,-3
YouGov/Sunday Times,2014-11-07,33,33,7,16.0,6.0,0
Survation/Mail on Sunday,2014-11-07,29,34,6,23.0,4.0,-5
Populus/,2014-11-06,33,35,9,14.0,4.0,-2
YouGov/Sun,2014-11-06,32,33,8,15.0,7.0,-1
YouGov/Sun,2014-11-05,32,33,7,17.0,7.0,-1
YouGov/Sun,2014-11-04,32,34,7,15.0,6.0,-2
YouGov/Sun,2014-11-03,33,34,8,15.0,5.0,-1
Populus/,2014-11-02,34,35,9,13.0,4.0,-1
Ashcroft/,2014-11-02,29,30,9,17.0,6.0,-1
Survation/Mirror,2014-11-01,27,31,9,24.0,3.0,-4
YouGov/Sunday Times,2014-10-31,31,32,7,18.0,6.0,-1
Populus/,2014-10-30,34,34,8,15.0,5.0,0
YouGov/Sun,2014-10-30,33,32,7,15.0,7.0,1
YouGov/Sun,2014-10-29,31,34,6,17.0,7.0,-3
YouGov/Sun,2014-10-28,32,33,8,17.0,5.0,-1
YouGov/Sun,2014-10-27,32,32,8,18.0,6.0,0
Populus/,2014-10-26,34,36,8,13.0,3.0,-2
ComRes/Independent,2014-10-26,30,30,9,19.0,4.0,0
Ashcroft/,2014-10-26,31,31,7,18.0,5.0,0
Opinium/Observer,2014-10-24,33,33,6,18.0,4.0,0
YouGov/Sunday Times,2014-10-24,33,33,7,16.0,6.0,0
Populus/,2014-10-23,33,35,9,15.0,3.0,-2
YouGov/Sun,2014-10-23,34,34,6,15.0,6.0,0
YouGov/Sun,2014-10-22,31,33,7,17.0,6.0,-2
YouGov/Sun,2014-10-21,32,33,8,16.0,5.0,-1
YouGov/Sun,2014-10-20,31,33,7,15.0,6.0,-2
Populus/,2014-10-19,34,36,9,13.0,3.0,-2
Ashcroft/,2014-10-19,28,31,7,18.0,8.0,-3
YouGov/Sunday Times,2014-10-17,32,35,7,16.0,5.0,-3
ComRes/Independent on Sunday (O),2014-10-16,31,34,7,19.0,4.0,-3
Populus/,2014-10-16,33,35,10,14.0,4.0,-2
YouGov/Sun,2014-10-16,31,32,8,18.0,7.0,-1
YouGov/Sun,2014-10-15,31,33,7,19.0,5.0,-2
Ipsos-MORI/Evening Standard,2014-10-14,30,33,8,16.0,5.0,-3
YouGov/Sun,2014-10-14,30,34,8,18.0,5.0,-4
YouGov/Sun,2014-10-13,31,34,7,17.0,4.0,-3
ICM/Guardian,2014-10-12,31,35,11,14.0,4.0,-4
Populus/,2014-10-12,35,36,9,13.0,3.0,-1
Ashcroft/,2014-10-12,28,32,8,19.0,5.0,-4
Survation/Mail on Sunday,2014-10-10,31,31,7,25.0,2.0,0
Opinium/Observer,2014-10-10,28,35,9,17.0,4.0,-7
YouGov/Sunday Times,2014-10-10,32,34,9,16.0,5.0,-2
Populus/,2014-10-09,34,35,9,13.0,4.0,-1
YouGov/Sun,2014-10-09,30,35,9,15.0,5.0,-5
YouGov/Sun,2014-10-08,33,34,7,14.0,6.0,-1
YouGov/Sun,2014-10-07,32,34,8,15.0,5.0,-2
YouGov/Sun,2014-10-06,35,33,8,13.0,4.0,2
Ashcroft/,2014-10-05,32,30,7,17.0,7.0,2
Populus/,2014-10-05,31,37,8,15.0,3.0,-6
YouGov/Sunday Times,2014-10-03,36,34,7,13.0,5.0,2
Populus/,2014-10-02,33,38,8,13.0,3.0,-5
YouGov/Sun,2014-10-02,35,34,6,14.0,5.0,1
YouGov/Sun,2014-10-01,31,38,7,15.0,5.0,-7
YouGov/Sun,2014-09-30,31,36,7,15.0,5.0,-5
YouGov/Sun,2014-09-29,31,36,7,16.0,4.0,-5
ComRes/Independent,2014-09-28,29,35,10,15.0,4.0,-6
Populus/,2014-09-28,34,36,7,14.0,5.0,-2
Ashcroft/,2014-09-28,32,32,8,17.0,4.0,0
ComRes/Independent on Sunday (O),2014-09-26,29,35,7,19.0,4.0,-6
YouGov/Sunday Times,2014-09-26,31,36,6,15.0,6.0,-5
Opinium/Observer,2014-09-26,32,34,7,17.0,4.0,-2
YouGov/Sun,2014-09-25,31,37,7,13.0,5.0,-6
Populus/,2014-09-25,33,37,9,13.0,3.0,-4
YouGov/Sun,2014-09-24,33,37,7,13.0,5.0,-4
YouGov/Sun,2014-09-23,31,37,7,15.0,5.0,-6
YouGov/Sun,2014-09-22,33,35,7,14.0,5.0,-2
Populus/,2014-09-21,33,37,9,12.0,4.0,-4
Ashcroft/,2014-09-21,27,33,9,17.0,7.0,-6
YouGov/Sunday Times,2014-09-19,31,36,7,16.0,5.0,-5
Populus/,2014-09-18,32,36,9,15.0,4.0,-4
YouGov/Sun,2014-09-18,33,35,8,14.0,5.0,-2
YouGov/Sun,2014-09-17,33,36,8,13.0,5.0,-3
YouGov/Sun,2014-09-16,34,37,7,12.0,6.0,-3
YouGov/Sun,2014-09-15,31,35,7,15.0,6.0,-4
Populus/,2014-09-14,34,35,9,13.0,3.0,-1
Ashcroft/,2014-09-14,33,33,9,14.0,6.0,0
ICM/Guardian,2014-09-14,33,35,10,9.0,7.0,-2
Survation/Mail on Sunday,2014-09-12,31,35,8,19.0,3.0,-4
YouGov/Sunday Times,2014-09-12,32,35,7,15.0,6.0,-3
Populus/,2014-09-11,33,37,9,13.0,2.0,-4
Opinium/Observer,2014-09-11,29,37,7,19.0,4.0,-8
YouGov/Sun,2014-09-11,31,35,7,16.0,5.0,-4
YouGov/Sun,2014-09-10,32,38,6,14.0,5.0,-6
Ipsos-MORI/Evening Standard,2014-09-09,34,33,7,15.0,6.0,1
YouGov/Sun,2014-09-09,30,36,8,16.0,5.0,-6
YouGov/Sun,2014-09-08,31,36,8,16.0,5.0,-5
Populus/,2014-09-07,34,36,9,12.0,4.0,-2
Ashcroft/,2014-09-07,28,35,8,18.0,6.0,-7
YouGov/Sunday Times,2014-09-05,33,35,7,15.0,4.0,-2
Populus/,2014-09-04,32,38,8,14.0,4.0,-6
YouGov/Sun,2014-09-04,32,36,7,16.0,5.0,-4
YouGov/Sun,2014-09-03,33,36,7,14.0,5.0,-3
YouGov/Sun,2014-09-02,32,35,8,15.0,5.0,-3
YouGov/Sun,2014-09-01,34,35,7,14.0,5.0,-1
ComRes/Independent,2014-08-31,28,35,9,17.0,6.0,-7
Populus/,2014-08-31,32,36,9,15.0,3.0,-4
Opinium/Observer,2014-08-29,30,36,7,16.0,4.0,-6
YouGov/Sunday Times,2014-08-29,32,36,7,16.0,4.0,-4
Populus/,2014-08-28,35,34,8,13.0,5.0,1
YouGov/Sun,2014-08-28,33,36,7,13.0,5.0,-3
YouGov/Sun,2014-08-27,34,35,7,14.0,6.0,-1
YouGov/Sun,2014-08-26,33,37,8,13.0,5.0,-4
Populus/,2014-08-25,32,38,8,15.0,3.0,-6
ComRes/Independent on Sunday (O),2014-08-22,32,34,8,18.0,3.0,-2
YouGov/Sunday Times,2014-08-22,34,36,8,14.0,5.0,-2
Populus/,2014-08-21,33,39,9,11.0,3.0,-6
YouGov/Sun,2014-08-21,33,38,8,12.0,5.0,-5
YouGov/Sun,2014-08-20,34,38,9,11.0,4.0,-4
YouGov/Sun,2014-08-19,36,37,9,12.0,3.0,-1
YouGov/Sun,2014-08-18,33,38,8,12.0,4.0,-5
Populus/,2014-08-17,32,37,9,14.0,3.0,-5
Opinium/,2014-08-15,28,32,10,21.0,4.0,-4
YouGov/Sunday Times,2014-08-15,34,38,7,13.0,4.0,-4
Populus/,2014-08-14,32,35,9,14.0,5.0,-3
YouGov/Sun,2014-08-14,35,35,8,12.0,5.0,0
YouGov/Sun,2014-08-13,34,36,10,12.0,4.0,-2
YouGov/Sun,2014-08-12,35,38,8,11.0,4.0,-3
YouGov/Sun,2014-08-11,33,37,8,12.0,5.0,-4
Ipsos-MORI/Evening Standard,2014-08-11,33,33,7,13.0,7.0,0
Populus/,2014-08-11,33,37,9,12.0,3.0,-4
ICM/Guardian,2014-08-10,31,38,12,10.0,4.0,-7
YouGov/Sunday Times,2014-08-08,33,37,8,13.0,4.0,-4
Populus/,2014-08-07,36,35,9,11.0,3.0,1
YouGov/Sun,2014-08-07,33,38,7,12.0,4.0,-5
YouGov/Sun,2014-08-06,34,37,9,12.0,4.0,-3
YouGov/Sun,2014-08-05,33,38,8,12.0,4.0,-5
YouGov/Sun,2014-08-04,34,38,6,13.0,4.0,-4
Populus/,2014-08-03,35,37,9,12.0,3.0,-2
Ashcroft/,2014-08-03,30,33,8,18.0,6.0,-3
Opinium/Observer,2014-08-01,32,35,7,15.0,5.0,-3
YouGov/Sunday Times,2014-08-01,35,38,7,12.0,4.0,-3
Populus/,2014-07-31,35,36,8,13.0,4.0,-1
YouGov/Sun,2014-07-31,34,38,8,13.0,4.0,-4
YouGov/Sun,2014-07-30,35,37,8,12.0,4.0,-2
YouGov/Sun,2014-07-29,34,35,8,12.0,6.0,-1
YouGov/Sun,2014-07-28,33,39,8,12.0,4.0,-6
Ashcroft/,2014-07-27,32,34,9,14.0,6.0,-2
Populus/,2014-07-27,33,37,9,12.0,5.0,-4
ComRes/Independent,2014-07-27,27,33,8,17.0,7.0,-6
YouGov/Sunday Times,2014-07-25,35,36,8,13.0,5.0,-1
Populus/,2014-07-24,35,37,9,9.0,4.0,-2
YouGov/Sun,2014-07-24,35,38,8,11.0,4.0,-3
YouGov/Sun,2014-07-23,34,38,8,12.0,4.0,-4
YouGov/Sun,2014-07-22,34,37,7,14.0,5.0,-3
YouGov/Sun,2014-07-21,34,38,9,11.0,4.0,-4
Populus/,2014-07-20,32,37,9,13.0,4.0,-5
Ashcroft/,2014-07-20,27,35,7,17.0,7.0,-8
ComRes/Independent on Sunday (O),2014-07-18,31,34,9,15.0,4.0,-3
YouGov/Sunday Times,2014-07-18,32,37,9,13.0,5.0,-5
TNS BMRB/,2014-07-17,29,36,7,19.0,,-7
Opinium/Observer,2014-07-17,30,34,9,17.0,4.0,-4
Populus/,2014-07-17,35,35,8,14.0,3.0,0
YouGov/Sun,2014-07-17,32,39,8,13.0,4.0,-7
YouGov/Sun,2014-07-16,33,36,9,13.0,4.0,-3
Ipsos-MORI/Evening Standard,2014-07-15,32,35,8,12.0,8.0,-3
YouGov/Sun,2014-07-15,34,38,6,14.0,4.0,-4
YouGov/Sun,2014-07-14,35,38,8,10.0,4.0,-3
Ashcroft/,2014-07-13,32,36,7,14.0,6.0,-4
Populus/,2014-07-13,34,37,9,12.0,3.0,-3
ICM/Guardian,2014-07-13,34,33,12,9.0,4.0,1
YouGov/Sunday Times,2014-07-11,33,38,9,12.0,4.0,-5
Populus/,2014-07-10,34,36,8,12.0,5.0,-2
YouGov/Sun,2014-07-10,34,37,8,12.0,5.0,-3
YouGov/Sun,2014-07-09,32,36,10,12.0,5.0,-4
YouGov/Sun,2014-07-08,31,38,8,12.0,5.0,-7
YouGov/Sun,2014-07-07,34,37,9,13.0,4.0,-3
Populus/,2014-07-06,31,38,9,14.0,4.0,-7
Ashcroft/,2014-07-06,27,34,11,15.0,6.0,-7
YouGov/Sun on Sunday,2014-07-04,35,37,8,12.0,5.0,-2
YouGov/Sunday Times,2014-07-04,34,36,8,13.0,5.0,-2
Populus/,2014-07-03,34,35,9,14.0,4.0,-1
Opinium/,2014-07-03,29,35,7,18.0,5.0,-6
YouGov/Sun,2014-07-03,35,36,8,12.0,5.0,-1
YouGov/Sun,2014-07-02,35,37,8,12.0,5.0,-2
YouGov/Sun,2014-07-01,33,38,8,11.0,5.0,-5
YouGov/Sun,2014-06-30,35,37,8,12.0,3.0,-2
ComRes/Independent,2014-06-29,30,32,7,18.0,5.0,-2
Ashcroft/,2014-06-29,33,31,9,15.0,6.0,2
Populus/,2014-06-29,33,37,10,12.0,4.0,-4
Survation/Mail on Sunday,2014-06-27,27,36,7,22.0,5.0,-9
YouGov/Sunday Times,2014-06-27,33,37,8,14.0,5.0,-4
Populus/,2014-06-26,34,35,8,13.0,5.0,-1
YouGov/Sun,2014-06-26,33,38,8,13.0,4.0,-5
YouGov/Sun,2014-06-25,32,37,7,14.0,5.0,-5
YouGov/Sun,2014-06-24,33,36,8,15.0,4.0,-3
YouGov/Sun,2014-06-23,32,36,9,15.0,4.0,-4
Populus/,2014-06-22,32,37,9,13.0,3.0,-5
Ashcroft/,2014-06-22,28,33,9,17.0,7.0,-5
YouGov/Sunday Times,2014-06-20,32,38,8,14.0,5.0,-6
Opinium/Observer,2014-06-19,31,35,7,17.0,5.0,-4
Populus/,2014-06-19,34,36,8,13.0,3.0,-2
YouGov/Sun,2014-06-19,33,37,8,15.0,3.0,-4
YouGov/Sun,2014-06-18,34,38,7,13.0,5.0,-4
Ipsos-MORI/Evening Standard,2014-06-17,31,34,8,14.0,8.0,-3
YouGov/Sun,2014-06-17,34,37,7,13.0,4.0,-3
YouGov/Sun,2014-06-16,32,36,10,14.0,5.0,-4
ICM/Guardian,2014-06-15,31,32,10,16.0,6.0,-1
Populus/,2014-06-15,33,37,9,13.0,4.0,-4
Ashcroft/,2014-06-15,29,35,8,15.0,6.0,-6
YouGov/Sunday Times,2014-06-13,33,37,8,13.0,5.0,-4
ComRes/Independent on Sunday (O),2014-06-13,32,34,7,18.0,4.0,-2
Populus/,2014-06-12,32,35,8,15.0,5.0,-3
YouGov/Sun on Sunday,2014-06-12,33,36,8,14.0,5.0,-3
TNS BMRB/,2014-06-12,29,35,6,23.0,3.0,-6
YouGov/Sun,2014-06-12,32,38,8,12.0,5.0,-6
YouGov/Sun,2014-06-11,34,36,6,14.0,5.0,-2
YouGov/Sun,2014-06-10,35,37,8,12.0,3.0,-2
YouGov/Sun,2014-06-09,31,37,7,15.0,5.0,-6
Populus/,2014-06-08,35,36,9,14.0,3.0,-1
Ashcroft/,2014-06-08,28,32,8,17.0,7.0,-4
Populus/,2014-06-06,34,35,9,14.0,5.0,-1
YouGov/Sunday Times,2014-06-06,33,37,7,14.0,5.0,-4
Opinium/Observer,2014-06-05,31,35,6,19.0,4.0,-4
YouGov/Sun,2014-06-05,31,37,8,15.0,5.0,-6
YouGov/Sun,2014-06-04,32,37,7,13.0,5.0,-5
YouGov/Sun,2014-06-03,32,36,8,14.0,5.0,-4
YouGov/Sun,2014-06-02,30,36,8,17.0,5.0,-6
Populus/,2014-06-01,32,37,10,13.0,3.0,-5
Ashcroft/,2014-06-01,25,34,6,19.0,7.0,-9
YouGov/Sunday Times,2014-05-30,33,36,7,15.0,4.0,-3
Populus/,2014-05-29,34,35,9,14.0,4.0,-1
YouGov/Sun,2014-05-29,31,38,7,16.0,4.0,-7
YouGov/Sun,2014-05-28,32,36,9,14.0,5.0,-4
YouGov/Sun,2014-05-27,32,34,8,15.0,5.0,-2
Populus/,2014-05-26,34,36,9,14.0,3.0,-2
Ashcroft/,2014-05-25,29,31,8,17.0,7.0,-2
Opinium/Observer,2014-05-23,32,33,7,19.0,4.0,-1
YouGov/Sunday Times,2014-05-23,34,35,9,13.0,5.0,-1
Populus/,2014-05-22,34,36,9,14.0,3.0,-2
YouGov/Sun,2014-05-22,34,34,9,14.0,5.0,0
YouGov/Sun,2014-05-21,33,36,9,13.0,4.0,-3
YouGov/Sun,2014-05-20,33,35,11,13.0,3.0,-2
Survation/Mirror,2014-05-20,28,35,8,21.0,3.0,-7
YouGov/Sun,2014-05-19,33,37,9,11.0,6.0,-4
Populus/,2014-05-18,35,34,8,14.0,3.0,1
ComRes/Independent,2014-05-18,30,35,8,14.0,5.0,-5
Ashcroft/,2014-05-18,29,35,9,14.0,5.0,-6
YouGov/Sunday Times,2014-05-16,34,37,9,13.0,4.0,-3
ComRes/Independent on Sunday (O),2014-05-15,29,33,8,19.0,4.0,-4
Populus/,2014-05-15,32,36,10,13.0,3.0,-4
YouGov/Sun,2014-05-15,34,36,8,13.0,4.0,-2
YouGov/Sun,2014-05-14,32,35,10,13.0,4.0,-3
YouGov/Sun,2014-05-13,34,34,8,15.0,3.0,0
Ipsos-MORI/Evening Standard,2014-05-12,31,34,9,11.0,8.0,-3
YouGov/Sun,2014-05-12,35,36,9,14.0,3.0,-1
ICM/Guardian,2014-05-11,33,31,13,15.0,4.0,2
Populus/,2014-05-11,35,36,8,13.0,3.0,-1
Ashcroft/,2014-05-11,34,32,9,15.0,5.0,2
Survation/Mail on Sunday,2014-05-09,28,34,10,20.0,3.0,-6
YouGov/Sunday Times,2014-05-09,31,38,9,13.0,4.0,-7
Opinium/,2014-05-08,29,33,9,20.0,4.0,-4
Populus/,2014-05-08,32,36,8,16.0,4.0,-4
YouGov/Sun,2014-05-08,34,35,8,13.0,4.0,-1
YouGov/Sun,2014-05-07,34,37,8,13.0,3.0,-3
YouGov/Sun,2014-05-06,34,35,9,14.0,3.0,-1
Populus/,2014-05-05,33,36,8,14.0,4.0,-3
Survation/Mirror,2014-05-03,33,34,8,18.0,2.0,-1
YouGov/Sunday Times,2014-05-02,33,36,9,15.0,4.0,-3
Populus/,2014-05-01,34,35,9,14.0,3.0,-1
YouGov/Sun on Sunday,2014-05-01,33,36,10,15.0,2.0,-3
YouGov/Sun,2014-05-01,33,36,10,14.0,3.0,-3
YouGov/Sun,2014-04-30,31,37,9,15.0,3.0,-6
YouGov/Sun,2014-04-29,32,37,9,14.0,3.0,-5
YouGov/Sun,2014-04-28,32,37,10,15.0,2.0,-5
Populus/,2014-04-27,32,35,10,15.0,3.0,-3
Opinium/Observer,2014-04-25,32,34,7,18.0,3.0,-2
YouGov/Sunday Times,2014-04-25,31,36,9,15.0,4.0,-5
Populus/,2014-04-24,35,35,9,13.0,3.0,0
YouGov/Sun,2014-04-24,32,38,8,14.0,4.0,-6
YouGov/Sun,2014-04-23,32,37,10,15.0,2.0,-5
YouGov/Sun,2014-04-22,34,37,10,12.0,2.0,-3
Populus/,2014-04-21,33,36,10,13.0,3.0,-3
YouGov/Sun,2014-04-17,33,35,11,15.0,2.0,-2
Populus/,2014-04-16,34,35,9,14.0,3.0,-1
YouGov/Sun,2014-04-16,33,39,9,11.0,3.0,-6
YouGov/Sun,2014-04-15,34,37,10,13.0,2.0,-3
YouGov/Sun,2014-04-14,33,38,9,12.0,3.0,-5
Populus/,2014-04-13,33,35,11,13.0,2.0,-2
ICM/Guardian,2014-04-13,32,37,12,11.0,2.0,-5
ComRes/Independent,2014-04-13,30,36,9,12.0,4.0,-6
YouGov/Sunday Times,2014-04-11,32,38,8,14.0,2.0,-6
Populus/,2014-04-10,34,35,11,12.0,2.0,-1
ComRes/Independent on Sunday (O),2014-04-10,29,35,7,20.0,4.0,-6
YouGov/Sun,2014-04-10,32,38,8,14.0,2.0,-6
